feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_H_original_firstorder_Uniformity_mean,adipose,H,firstorder,Uniformity,mean,0.01419,0.004459,0.013913,0.014466,0.314,1,3.0,1.0,17.0,98.2,99.9,-0.4384,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_InterquartileRange_mean,adipose,H,firstorder,InterquartileRange,mean,0.013426,0.004354,0.013156,0.013696,0.324,2,4.0,1.0,26.0,96.0,99.7,0.4273,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Entropy_mean,adipose,H,firstorder,Entropy,mean,0.012617,0.004005,0.012369,0.012865,0.317,3,5.0,1.0,26.0,95.4,99.8,0.432,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,adipose,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.01178,0.004162,0.011522,0.012038,0.353,4,6.0,1.0,36.0,91.0,99.2,0.4205,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Skewness_mean,adipose,H,firstorder,Skewness,mean,0.011636,0.004033,0.011386,0.011886,0.347,5,6.0,1.0,33.0,91.7,99.0,-0.4275,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Mean_mean,adipose,H,firstorder,Mean,mean,0.010089,0.0035,0.009872,0.010306,0.347,6,9.0,2.0,40.0,85.9,99.0,0.4232,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Kurtosis_mean,adipose,H,firstorder,Kurtosis,mean,0.009026,0.003709,0.008796,0.009255,0.411,7,12.0,2.0,68.0,73.5,94.6,-0.3882,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Kurtosis_std,adipose,H,firstorder,Kurtosis,std,0.008877,0.004699,0.008586,0.009169,0.529,8,15.0,1.0,122.1,63.9,88.7,-0.2889,9e-06,higher feature -> lower survival_target
adipose_H_original_firstorder_90Percentile_mean,adipose,H,firstorder,90Percentile,mean,0.008658,0.003273,0.008455,0.00886,0.378,9,13.0,4.0,55.0,72.6,96.5,0.4136,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Median_mean,adipose,H,firstorder,Median,mean,0.007279,0.003288,0.007075,0.007483,0.452,10,19.0,3.0,106.0,53.2,87.1,0.4017,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_TotalEnergy_mean,adipose,H,firstorder,TotalEnergy,mean,0.006981,0.002917,0.0068,0.007162,0.418,11,20.0,4.0,102.0,51.0,88.4,0.3972,0.0,higher feature -> higher survival_target
vessels_H_original_firstorder_Skewness_mean,vessels,H,firstorder,Skewness,mean,0.006974,0.003387,0.006765,0.007184,0.486,12,22.0,2.0,131.1,47.1,83.1,-0.3538,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Energy_mean,adipose,H,firstorder,Energy,mean,0.006965,0.002898,0.006786,0.007145,0.416,13,21.0,5.0,94.0,49.3,89.4,0.3972,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Median_std,adipose,H,firstorder,Median,std,0.00667,0.003803,0.006434,0.006906,0.57,14,25.0,1.0,165.1,42.8,75.4,0.3538,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_RootMeanSquared_mean,adipose,H,firstorder,RootMeanSquared,mean,0.006652,0.002613,0.00649,0.006814,0.393,15,23.0,8.0,89.0,45.2,87.6,0.4046,0.0,higher feature -> higher survival_target
muscularis_E_original_firstorder_InterquartileRange_std,muscularis,E,firstorder,InterquartileRange,std,0.006645,0.003836,0.006408,0.006883,0.577,16,25.0,1.0,191.0,41.7,73.4,-0.292,7e-06,higher feature -> lower survival_target
adipose_H_original_firstorder_MeanAbsoluteDeviation_mean,adipose,H,firstorder,MeanAbsoluteDeviation,mean,0.006355,0.002503,0.0062,0.00651,0.394,17,24.0,6.0,94.0,40.8,84.4,0.3977,0.0,higher feature -> higher survival_target
muscularis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscularis,E,firstorder,RobustMeanAbsoluteDeviation,std,0.006054,0.003506,0.005837,0.006271,0.579,18,30.0,2.0,190.0,37.1,69.6,-0.2964,5e-06,higher feature -> lower survival_target
muscularis_E_original_firstorder_Variance_std,muscularis,E,firstorder,Variance,std,0.005718,0.003584,0.005496,0.00594,0.627,19,35.0,2.0,254.0,32.4,63.3,-0.2766,2.3e-05,higher feature -> lower survival_target
muscularis_H_original_firstorder_Uniformity_mean,muscularis,H,firstorder,Uniformity,mean,0.005522,0.002834,0.005346,0.005697,0.513,20,32.0,4.0,212.2,29.4,69.8,-0.3651,0.0,higher feature -> lower survival_target
vessels_H_original_firstorder_Uniformity_mean,vessels,H,firstorder,Uniformity,mean,0.005442,0.002839,0.005266,0.005618,0.522,21,34.0,5.0,200.0,28.2,68.1,-0.337,0.0,higher feature -> lower survival_target
vessels_H_original_firstorder_Kurtosis_mean,vessels,H,firstorder,Kurtosis,mean,0.005434,0.003015,0.005248,0.005621,0.555,22,35.0,6.0,212.0,28.7,65.2,-0.3017,4e-06,higher feature -> lower survival_target
lamina_H_original_firstorder_Entropy_mean,lamina,H,firstorder,Entropy,mean,0.005259,0.00282,0.005085,0.005434,0.536,23,36.5,3.0,215.2,26.0,64.5,0.343,0.0,higher feature -> higher survival_target
lamina_H_original_firstorder_Uniformity_mean,lamina,H,firstorder,Uniformity,mean,0.005184,0.002522,0.005028,0.005341,0.486,24,36.0,5.0,185.0,25.2,66.3,-0.356,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_Variance_mean,adipose,H,firstorder,Variance,mean,0.00518,0.002644,0.005016,0.005344,0.51,25,37.0,6.0,182.3,25.2,66.0,0.3625,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_Median_mean,muscularis,H,firstorder,Median,mean,0.004997,0.002878,0.004818,0.005175,0.576,26,42.0,4.0,273.1,22.5,59.6,0.3332,0.0,higher feature -> higher survival_target
vessels_H_original_firstorder_Median_mean,vessels,H,firstorder,Median,mean,0.004944,0.002853,0.004768,0.005121,0.577,27,41.5,4.0,235.0,22.7,58.8,0.309,2e-06,higher feature -> higher survival_target
vessels_H_original_firstorder_InterquartileRange_mean,vessels,H,firstorder,InterquartileRange,mean,0.004869,0.002515,0.004713,0.005025,0.516,28,41.5,8.0,213.0,21.9,58.7,0.3264,0.0,higher feature -> higher survival_target
vessels_H_original_firstorder_Entropy_mean,vessels,H,firstorder,Entropy,mean,0.004621,0.002482,0.004468,0.004775,0.537,29,45.0,8.0,247.0,17.4,54.7,0.3228,1e-06,higher feature -> higher survival_target
muscularis_H_original_firstorder_Kurtosis_std,muscularis,H,firstorder,Kurtosis,std,0.004619,0.003004,0.004433,0.004805,0.65,30,53.0,3.0,282.0,21.3,47.8,-0.257,8.7e-05,higher feature -> lower survival_target
muscularis_H_original_firstorder_Entropy_mean,muscularis,H,firstorder,Entropy,mean,0.004618,0.002396,0.00447,0.004767,0.519,31,44.0,8.0,259.1,16.8,58.0,0.3598,0.0,higher feature -> higher survival_target
lamina_H_original_firstorder_Median_mean,lamina,H,firstorder,Median,mean,0.004574,0.002457,0.004421,0.004726,0.537,32,45.0,7.0,276.0,17.4,55.5,0.3356,0.0,higher feature -> higher survival_target
immune_H_original_firstorder_Kurtosis_std,immune,H,firstorder,Kurtosis,std,0.004525,0.003196,0.004327,0.004723,0.706,33,54.0,2.0,365.0,20.8,47.4,-0.2395,0.000262,higher feature -> lower survival_target
adipose_H_original_firstorder_Skewness_std,adipose,H,firstorder,Skewness,std,0.00447,0.002677,0.004305,0.004636,0.599,34,51.0,8.0,239.0,17.3,49.5,-0.3029,3e-06,higher feature -> lower survival_target
lamina_H_original_firstorder_Mean_mean,lamina,H,firstorder,Mean,mean,0.00431,0.002251,0.00417,0.00445,0.522,35,50.0,8.0,278.0,14.3,50.3,0.34,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_Mean_mean,muscularis,H,firstorder,Mean,mean,0.004281,0.00231,0.004138,0.004424,0.54,36,50.0,10.0,295.2,12.0,50.2,0.3532,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_InterquartileRange_mean,muscularis,H,firstorder,InterquartileRange,mean,0.004211,0.002252,0.004071,0.00435,0.535,37,52.0,10.0,268.1,13.5,48.8,0.358,0.0,higher feature -> higher survival_target
adipose_H_original_firstorder_Mean_std,adipose,H,firstorder,Mean,std,0.00421,0.002593,0.004049,0.004371,0.616,38,55.0,6.0,312.0,15.4,46.5,0.3252,1e-06,higher feature -> higher survival_target
muscularis_E_original_firstorder_MeanAbsoluteDeviation_std,muscularis,E,firstorder,MeanAbsoluteDeviation,std,0.004104,0.002629,0.003942,0.004267,0.641,39,60.0,5.0,291.0,14.3,43.3,-0.2655,4.9e-05,higher feature -> lower survival_target
lamina_H_original_firstorder_Skewness_std,lamina,H,firstorder,Skewness,std,0.004062,0.002503,0.003907,0.004217,0.616,40,60.0,7.0,280.1,13.9,42.6,-0.3007,4e-06,higher feature -> lower survival_target
muscularis_H_original_firstorder_Skewness_mean,muscularis,H,firstorder,Skewness,mean,0.004059,0.002369,0.003912,0.004206,0.584,41,57.0,8.0,293.0,11.1,43.6,-0.3443,0.0,higher feature -> lower survival_target
adipose_H_original_firstorder_InterquartileRange_std,adipose,H,firstorder,InterquartileRange,std,0.004041,0.002794,0.003868,0.004214,0.691,42,65.0,5.0,348.0,15.9,40.4,0.2887,9e-06,higher feature -> higher survival_target
lamina_H_original_firstorder_Kurtosis_std,lamina,H,firstorder,Kurtosis,std,0.003924,0.002494,0.00377,0.004079,0.636,43,65.5,7.0,330.3,15.3,40.2,-0.2718,3.2e-05,higher feature -> lower survival_target
muscularis_H_original_firstorder_RootMeanSquared_mean,muscularis,H,firstorder,RootMeanSquared,mean,0.003882,0.002081,0.003753,0.004011,0.536,44,59.0,12.0,330.1,9.0,41.2,0.3503,0.0,higher feature -> higher survival_target
vessels_H_original_firstorder_Mean_mean,vessels,H,firstorder,Mean,mean,0.003862,0.002203,0.003725,0.003998,0.571,45,62.0,11.0,300.1,9.6,41.0,0.2991,4e-06,higher feature -> higher survival_target
muscularis_H_original_firstorder_Kurtosis_mean,muscularis,H,firstorder,Kurtosis,mean,0.003847,0.002277,0.003706,0.003988,0.592,46,62.0,7.0,322.0,11.2,39.5,-0.3156,1e-06,higher feature -> lower survival_target
urothelium_E_original_firstorder_90Percentile_std,urothelium,E,firstorder,90Percentile,std,0.003715,0.002324,0.003571,0.003859,0.626,47,68.0,7.0,337.0,11.8,36.8,-0.2155,0.001059,higher feature -> lower survival_target
vessels_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,vessels,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.003652,0.002122,0.003521,0.003784,0.581,48,69.0,13.0,311.0,8.1,36.6,0.3155,1e-06,higher feature -> higher survival_target
necrosis_E_original_firstorder_InterquartileRange_std,necrosis,E,firstorder,InterquartileRange,std,0.003584,0.001684,0.00348,0.003689,0.47,49,64.0,14.0,242.0,7.5,36.5,-0.0965,0.146204,higher feature -> lower survival_target
urothelium_E_original_firstorder_RootMeanSquared_std,urothelium,E,firstorder,RootMeanSquared,std,0.003546,0.002111,0.003416,0.003677,0.595,50,72.0,11.0,304.0,8.1,36.1,-0.233,0.000389,higher feature -> lower survival_target
muscularis_E_original_firstorder_10Percentile_mean,muscularis,E,firstorder,10Percentile,mean,0.003504,0.001921,0.003385,0.003623,0.548,51,71.5,9.0,273.0,9.0,34.5,0.1616,0.014573,higher feature -> higher survival_target
lamina_H_original_firstorder_10Percentile_mean,lamina,H,firstorder,10Percentile,mean,0.0035,0.00233,0.003355,0.003644,0.666,52,80.0,9.0,358.0,9.8,32.2,0.2233,0.000684,higher feature -> higher survival_target
muscularis_H_original_firstorder_90Percentile_mean,muscularis,H,firstorder,90Percentile,mean,0.003485,0.00183,0.003371,0.003598,0.525,53,74.5,15.0,323.0,4.7,34.2,0.3457,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,muscularis,H,firstorder,RobustMeanAbsoluteDeviation,mean,0.003452,0.001858,0.003337,0.003567,0.538,54,74.0,15.0,316.0,5.7,33.1,0.3504,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_Energy_mean,muscularis,H,firstorder,Energy,mean,0.003429,0.001759,0.00332,0.003538,0.513,55,74.0,17.0,345.1,4.7,32.0,0.3494,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_TotalEnergy_mean,muscularis,H,firstorder,TotalEnergy,mean,0.003407,0.00176,0.003298,0.003516,0.517,56,75.5,17.0,350.1,4.3,33.0,0.3494,0.0,higher feature -> higher survival_target
muscularis_H_original_firstorder_10Percentile_std,muscularis,H,firstorder,10Percentile,std,0.003352,0.002354,0.003206,0.003497,0.702,57,90.0,9.0,394.0,9.7,28.1,0.2308,0.000444,higher feature -> higher survival_target
vessels_H_original_firstorder_MeanAbsoluteDeviation_mean,vessels,H,firstorder,MeanAbsoluteDeviation,mean,0.003339,0.002043,0.003212,0.003466,0.612,58,80.0,14.0,387.0,5.9,30.8,0.2914,8e-06,higher feature -> higher survival_target
tumor_H_original_firstorder_Kurtosis_std,tumor,H,firstorder,Kurtosis,std,0.003263,0.001935,0.003143,0.003382,0.593,59,87.0,12.0,287.0,7.8,26.2,-0.1949,0.00313,higher feature -> lower survival_target
immune_H_original_firstorder_Skewness_std,immune,H,firstorder,Skewness,std,0.003213,0.002124,0.003082,0.003345,0.661,60,89.0,10.0,362.0,7.3,27.6,-0.2758,2.4e-05,higher feature -> lower survival_target
adipose_H_original_firstorder_10Percentile_mean,adipose,H,firstorder,10Percentile,mean,0.003189,0.001975,0.003067,0.003312,0.619,61,89.0,14.0,361.0,5.9,26.5,0.2979,5e-06,higher feature -> higher survival_target
lamina_H_original_firstorder_InterquartileRange_std,lamina,H,firstorder,InterquartileRange,std,0.003145,0.001398,0.003058,0.003232,0.445,62,77.0,17.0,277.0,4.1,25.8,-0.0828,0.213045,higher feature -> lower survival_target
necrosis_E_original_firstorder_Entropy_std,necrosis,E,firstorder,Entropy,std,0.003114,0.001452,0.003024,0.003204,0.466,63,80.0,17.0,323.0,3.6,26.0,0.0003,0.996737,higher feature -> higher survival_target
vessels_H_original_firstorder_Kurtosis_std,vessels,H,firstorder,Kurtosis,std,0.003103,0.001908,0.002985,0.003222,0.615,64,96.5,10.0,351.0,7.4,24.2,-0.1783,0.006961,higher feature -> lower survival_target
necrosis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,necrosis,E,firstorder,RobustMeanAbsoluteDeviation,std,0.003059,0.001503,0.002966,0.003152,0.491,65,87.0,18.0,279.0,3.6,24.7,-0.0946,0.154513,higher feature -> lower survival_target
lamina_H_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,H,firstorder,RobustMeanAbsoluteDeviation,std,0.003054,0.001322,0.002972,0.003136,0.433,66,82.0,19.0,278.1,2.9,24.2,-0.0877,0.187001,higher feature -> lower survival_target
muscularis_H_original_firstorder_Median_std,muscularis,H,firstorder,Median,std,0.003045,0.001899,0.002927,0.003163,0.623,67,99.0,14.0,367.0,5.0,23.9,0.2932,7e-06,higher feature -> higher survival_target
muscularis_H_original_firstorder_10Percentile_mean,muscularis,H,firstorder,10Percentile,mean,0.003002,0.00204,0.002876,0.003129,0.68,68,108.0,11.0,385.0,7.0,22.9,0.2161,0.001024,higher feature -> higher survival_target
lamina_H_original_firstorder_MeanAbsoluteDeviation_std,lamina,H,firstorder,MeanAbsoluteDeviation,std,0.002965,0.001494,0.002873,0.003058,0.504,69,92.0,16.0,313.0,3.7,21.1,-0.1229,0.063893,higher feature -> lower survival_target
necrosis_H_original_firstorder_InterquartileRange_std,necrosis,H,firstorder,InterquartileRange,std,0.002936,0.001323,0.002854,0.003018,0.45,70,88.0,20.0,274.0,2.6,21.7,-0.0709,0.286297,higher feature -> lower survival_target
urothelium_E_original_firstorder_Mean_std,urothelium,E,firstorder,Mean,std,0.002906,0.001583,0.002808,0.003004,0.545,71,98.0,17.0,332.0,4.2,21.2,-0.2162,0.001019,higher feature -> lower survival_target
urothelium_E_original_firstorder_Median_std,urothelium,E,firstorder,Median,std,0.002903,0.001446,0.002813,0.002992,0.498,72,95.0,19.0,295.1,3.8,20.3,-0.2055,0.001812,higher feature -> lower survival_target
vessels_H_original_firstorder_90Percentile_mean,vessels,H,firstorder,90Percentile,mean,0.00289,0.001657,0.002788,0.002993,0.573,73,101.0,20.0,388.1,2.9,21.8,0.3006,4e-06,higher feature -> higher survival_target
immune_H_original_firstorder_InterquartileRange_mean,immune,H,firstorder,InterquartileRange,mean,0.002828,0.001638,0.002726,0.002929,0.579,74,104.5,17.0,368.0,4.0,19.7,0.3002,4e-06,higher feature -> higher survival_target
immune_H_original_firstorder_Uniformity_mean,immune,H,firstorder,Uniformity,mean,0.002793,0.001621,0.002692,0.002893,0.58,75,107.0,19.0,360.1,3.1,18.6,-0.3108,2e-06,higher feature -> lower survival_target
necrosis_E_original_firstorder_MeanAbsoluteDeviation_std,necrosis,E,firstorder,MeanAbsoluteDeviation,std,0.002751,0.00112,0.002682,0.00282,0.407,76,98.0,26.0,289.0,1.1,15.3,-0.073,0.272439,higher feature -> lower survival_target
adipose_H_original_firstorder_TotalEnergy_std,adipose,H,firstorder,TotalEnergy,std,0.002739,0.001777,0.002629,0.002849,0.649,77,118.0,16.0,419.0,4.3,20.5,0.2874,1e-05,higher feature -> higher survival_target
adipose_H_original_firstorder_Energy_std,adipose,H,firstorder,Energy,std,0.002739,0.001806,0.002627,0.002851,0.659,78,121.5,16.0,420.1,5.3,20.3,0.2874,1e-05,higher feature -> higher survival_target
necrosis_E_original_firstorder_Variance_std,necrosis,E,firstorder,Variance,std,0.002736,0.001142,0.002665,0.002806,0.417,79,100.0,25.0,279.0,1.2,15.1,-0.04,0.548044,higher feature -> lower survival_target
lamina_E_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,E,firstorder,RobustMeanAbsoluteDeviation,std,0.002723,0.001733,0.002615,0.00283,0.637,80,120.0,15.0,395.0,4.7,19.5,-0.2407,0.000244,higher feature -> lower survival_target
lamina_H_original_firstorder_InterquartileRange_mean,lamina,H,firstorder,InterquartileRange,mean,0.002682,0.001528,0.002587,0.002776,0.57,81,116.0,19.0,387.0,3.0,17.3,0.2891,9e-06,higher feature -> higher survival_target
urothelium_E_original_firstorder_Entropy_std,urothelium,E,firstorder,Entropy,std,0.002645,0.001672,0.002541,0.002748,0.632,82,123.0,17.0,387.0,3.5,16.4,-0.1471,0.026321,higher feature -> lower survival_target
lamina_E_original_firstorder_InterquartileRange_std,lamina,E,firstorder,InterquartileRange,std,0.00262,0.001638,0.002519,0.002722,0.625,83,129.0,17.0,402.0,4.1,17.1,-0.2297,0.000471,higher feature -> lower survival_target
necrosis_H_original_firstorder_MeanAbsoluteDeviation_std,necrosis,H,firstorder,MeanAbsoluteDeviation,std,0.002619,0.001175,0.002546,0.002692,0.449,84,106.0,27.0,329.0,1.1,13.2,-0.0937,0.158487,higher feature -> lower survival_target
necrosis_H_original_firstorder_90Percentile_std,necrosis,H,firstorder,90Percentile,std,0.002614,0.001101,0.002546,0.002682,0.421,85,107.0,25.0,315.0,1.2,13.1,-0.0656,0.324165,higher feature -> lower survival_target
lamina_E_original_firstorder_10Percentile_mean,lamina,E,firstorder,10Percentile,mean,0.002608,0.001292,0.002528,0.002688,0.495,86,109.0,21.0,362.0,2.5,16.6,0.0971,0.143944,higher feature -> higher survival_target
necrosis_H_original_firstorder_RobustMeanAbsoluteDeviation_std,necrosis,H,firstorder,RobustMeanAbsoluteDeviation,std,0.00259,0.001055,0.002525,0.002656,0.407,87,106.0,29.0,305.0,1.1,13.2,-0.0684,0.303444,higher feature -> lower survival_target
adipose_H_original_firstorder_10Percentile_std,adipose,H,firstorder,10Percentile,std,0.002576,0.001631,0.002475,0.002677,0.633,88,134.0,18.0,389.0,3.6,16.4,0.2547,0.000101,higher feature -> higher survival_target
tumor_H_original_firstorder_10Percentile_mean,tumor,H,firstorder,10Percentile,mean,0.002553,0.001612,0.002453,0.002653,0.632,89,131.5,17.0,358.0,3.1,12.5,0.1105,0.096121,higher feature -> higher survival_target
necrosis_H_original_firstorder_RootMeanSquared_std,necrosis,H,firstorder,RootMeanSquared,std,0.002552,0.00121,0.002477,0.002627,0.474,90,114.0,23.0,335.1,1.7,13.8,-0.0178,0.789407,higher feature -> lower survival_target
muscularis_E_original_firstorder_Median_std,muscularis,E,firstorder,Median,std,0.002528,0.001466,0.002437,0.002619,0.58,91,127.0,25.0,380.0,1.6,14.2,-0.2287,0.0005,higher feature -> lower survival_target
vessels_H_original_firstorder_RootMeanSquared_mean,vessels,H,firstorder,RootMeanSquared,mean,0.002527,0.001428,0.002439,0.002616,0.565,92,130.5,25.0,406.0,1.5,15.4,0.2736,2.8e-05,higher feature -> higher survival_target
lamina_H_original_firstorder_Skewness_mean,lamina,H,firstorder,Skewness,mean,0.002524,0.001324,0.002442,0.002606,0.525,93,123.5,24.0,365.0,1.6,15.0,-0.29,9e-06,higher feature -> lower survival_target
immune_H_original_firstorder_Entropy_mean,immune,H,firstorder,Entropy,mean,0.002517,0.001392,0.00243,0.002603,0.553,94,130.5,22.0,389.0,2.1,14.1,0.301,4e-06,higher feature -> higher survival_target
muscularis_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,muscularis,E,firstorder,RobustMeanAbsoluteDeviation,mean,0.002516,0.001117,0.002446,0.002585,0.444,95,113.0,25.0,330.0,1.3,11.2,-0.1699,0.010171,higher feature -> lower survival_target
urothelium_E_original_firstorder_Kurtosis_mean,urothelium,E,firstorder,Kurtosis,mean,0.002465,0.001417,0.002377,0.002552,0.575,96,137.0,21.0,391.1,2.5,13.4,-0.1364,0.039617,higher feature -> lower survival_target
necrosis_E_original_firstorder_RootMeanSquared_std,necrosis,E,firstorder,RootMeanSquared,std,0.002386,0.001107,0.002317,0.002455,0.464,97,133.0,26.0,332.0,1.4,10.4,0.0127,0.84924,higher feature -> higher survival_target
muscularis_H_original_firstorder_MeanAbsoluteDeviation_mean,muscularis,H,firstorder,MeanAbsoluteDeviation,mean,0.002373,0.001247,0.002296,0.00245,0.526,98,141.0,25.0,405.0,0.8,12.1,0.321,1e-06,higher feature -> higher survival_target
necrosis_E_original_firstorder_90Percentile_std,necrosis,E,firstorder,90Percentile,std,0.002361,0.001031,0.002297,0.002425,0.437,99,129.5,31.0,355.0,0.6,9.6,0.0227,0.733245,higher feature -> higher survival_target
lamina_E_original_firstorder_Variance_std,lamina,E,firstorder,Variance,std,0.002334,0.001339,0.002251,0.002417,0.574,100,152.0,23.0,407.0,1.9,10.2,-0.2029,0.002078,higher feature -> lower survival_target
adipose_H_original_firstorder_RootMeanSquared_std,adipose,H,firstorder,RootMeanSquared,std,0.002328,0.001427,0.00224,0.002417,0.613,101,150.0,23.0,420.0,1.9,12.2,0.2626,6e-05,higher feature -> higher survival_target
lamina_H_original_firstorder_90Percentile_std,lamina,H,firstorder,90Percentile,std,0.002318,0.000958,0.002259,0.002378,0.413,102,134.0,38.0,362.0,0.3,8.0,-0.0734,0.269714,higher feature -> lower survival_target
muscularis_H_original_firstorder_Skewness_std,muscularis,H,firstorder,Skewness,std,0.002305,0.001258,0.002227,0.002383,0.546,103,149.0,25.0,373.0,1.7,9.2,-0.2463,0.000172,higher feature -> lower survival_target
muscularis_H_original_firstorder_Mean_std,muscularis,H,firstorder,Mean,std,0.00228,0.001444,0.00219,0.002369,0.634,104,161.0,21.0,412.0,2.2,10.3,0.2584,7.9e-05,higher feature -> higher survival_target
muscularis_E_original_firstorder_InterquartileRange_mean,muscularis,E,firstorder,InterquartileRange,mean,0.002278,0.000975,0.002218,0.002339,0.428,105,134.5,32.0,369.0,0.2,7.8,-0.1622,0.014222,higher feature -> lower survival_target
vessels_E_original_firstorder_RobustMeanAbsoluteDeviation_std,vessels,E,firstorder,RobustMeanAbsoluteDeviation,std,0.002269,0.001237,0.002193,0.002346,0.545,106,152.5,26.0,401.0,1.2,10.5,-0.1228,0.064065,higher feature -> lower survival_target
immune_H_original_firstorder_Skewness_mean,immune,H,firstorder,Skewness,mean,0.002242,0.001051,0.002177,0.002307,0.469,107,149.0,30.0,373.0,0.6,9.2,-0.2785,2e-05,higher feature -> lower survival_target
urothelium_H_original_firstorder_Kurtosis_std,urothelium,H,firstorder,Kurtosis,std,0.002233,0.001354,0.002149,0.002317,0.607,108,168.5,21.0,412.1,2.4,11.4,-0.1638,0.01326,higher feature -> lower survival_target
immune_H_original_firstorder_Kurtosis_mean,immune,H,firstorder,Kurtosis,mean,0.002231,0.00132,0.002149,0.002313,0.592,109,165.0,26.0,382.0,1.3,9.6,-0.2594,7.4e-05,higher feature -> lower survival_target
necrosis_H_original_firstorder_Mean_std,necrosis,H,firstorder,Mean,std,0.002216,0.000931,0.002158,0.002274,0.42,110,142.5,35.0,351.0,0.2,7.4,0.0299,0.653552,higher feature -> higher survival_target
lamina_H_original_firstorder_RootMeanSquared_mean,lamina,H,firstorder,RootMeanSquared,mean,0.002214,0.001285,0.002134,0.002293,0.58,111,162.0,29.0,430.0,1.2,10.0,0.3049,3e-06,higher feature -> higher survival_target
vessels_E_original_firstorder_10Percentile_mean,vessels,E,firstorder,10Percentile,mean,0.002202,0.001161,0.002131,0.002274,0.527,112,156.5,27.0,390.0,1.6,9.3,0.0984,0.138679,higher feature -> higher survival_target
urothelium_E_original_firstorder_Skewness_mean,urothelium,E,firstorder,Skewness,mean,0.0022,0.000999,0.002138,0.002262,0.454,113,145.5,33.0,373.1,0.4,7.8,-0.0856,0.197888,higher feature -> lower survival_target
vessels_H_original_firstorder_TotalEnergy_mean,vessels,H,firstorder,TotalEnergy,mean,0.00219,0.001297,0.002109,0.00227,0.592,114,169.0,26.0,424.0,1.3,9.9,0.2649,5.1e-05,higher feature -> higher survival_target
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,H,firstorder,RobustMeanAbsoluteDeviation,std,0.002187,0.001375,0.002102,0.002272,0.629,115,180.0,23.0,434.0,1.7,12.6,0.2542,0.000104,higher feature -> higher survival_target
vessels_H_original_firstorder_Energy_mean,vessels,H,firstorder,Energy,mean,0.002175,0.001275,0.002096,0.002254,0.586,116,176.0,27.0,429.0,1.2,10.4,0.2649,5.1e-05,higher feature -> higher survival_target
urothelium_E_original_firstorder_Skewness_std,urothelium,E,firstorder,Skewness,std,0.002166,0.001095,0.002098,0.002234,0.506,117,160.0,34.0,403.0,0.7,7.6,-0.1278,0.053998,higher feature -> lower survival_target
necrosis_E_original_firstorder_Variance_mean,necrosis,E,firstorder,Variance,mean,0.002157,0.000977,0.002097,0.002218,0.453,118,149.0,38.9,386.0,0.8,6.0,0.007,0.916194,higher feature -> higher survival_target
tumor_H_original_firstorder_RootMeanSquared_std,tumor,H,firstorder,RootMeanSquared,std,0.002131,0.000943,0.002073,0.00219,0.443,119,156.0,37.0,379.0,0.5,6.2,0.0354,0.595008,higher feature -> higher survival_target
muscularis_E_original_firstorder_Variance_mean,muscularis,E,firstorder,Variance,mean,0.002117,0.000905,0.002061,0.002174,0.428,120,153.0,37.0,381.0,0.4,6.0,-0.1599,0.015627,higher feature -> lower survival_target
necrosis_E_original_firstorder_Mean_std,necrosis,E,firstorder,Mean,std,0.002115,0.000728,0.00207,0.00216,0.344,121,146.5,47.0,327.0,0.0,3.7,0.0228,0.7321,higher feature -> higher survival_target
necrosis_E_original_firstorder_10Percentile_mean,necrosis,E,firstorder,10Percentile,mean,0.002099,0.001058,0.002033,0.002165,0.504,122,165.0,31.0,406.0,0.9,7.4,0.1197,0.071125,higher feature -> higher survival_target
